19:33:47:639 [Information Program] Boiling, You're just a miserable copy of me!
19:33:47:660 [Fatal Program] No, I'm the upgrade!
19:36:01:117 [Information Program] Boiling, You're just a miserable copy of me!
19:36:01:139 [Fatal Program] No, I'm the upgrade!
19:37:06:608 [Information Program] Boiling, You're just a miserable copy of me!
19:37:06:635 [Fatal Program] No, I'm the upgrade!
19:37:34:348 [Information Program] Boiling, You're just a miserable copy of me!
19:37:34:370 [Fatal Program] No, I'm the upgrade!
19:38:06:612 [Information Program] Boiling, You're just a miserable copy of me!
19:38:06:632 [Fatal Program] No, I'm the upgrade!
19:39:02:453 [Information Program] Boiling, You're just a miserable copy of me!
19:39:02:474 [Fatal Program] No, I'm the upgrade!
19:39:32:801 [Information Program] Boiling, You're just a miserable copy of me!
19:39:32:822 [Fatal Program] No, I'm the upgrade!
19:39:59:529 [Information Program] Boiling, You're just a miserable copy of me!
19:39:59:548 [Fatal Program] No, I'm the upgrade!
19:41:19:271 [Information Program] Boiling, You're just a miserable copy of me!
19:41:19:292 [Fatal Program] No, I'm the upgrade!
19:41:46:513 [Information Program] Boiling, You're just a miserable copy of me!
19:41:46:534 [Fatal Program] No, I'm the upgrade!
19:42:14:011 [Information Program] Boiling, You're just a miserable copy of me!
19:42:14:030 [Fatal Program] No, I'm the upgrade!
19:42:32:644 [Information Program] Boiling, You're just a miserable copy of me!
19:42:32:662 [Fatal Program] No, I'm the upgrade!
19:42:48:091 [Information Program] Boiling, You're just a miserable copy of me!
19:42:48:110 [Fatal Program] No, I'm the upgrade!
19:43:33:662 [Information Program] Boiling, You're just a miserable copy of me!
19:43:33:685 [Fatal Program] No, I'm the upgrade!
19:44:39:567 [Information Program] Boiling, You're just a miserable copy of me!
19:44:39:588 [Fatal Program] No, I'm the upgrade!
19:45:27:411 [Information Program] Boiling, You're just a miserable copy of me!
19:45:27:432 [Fatal Program] No, I'm the upgrade!
19:47:29:714 [Information Program] Boiling, You're just a miserable copy of me!
19:47:29:734 [Fatal Program] No, I'm the upgrade!
19:49:08:730 [Information Program] Boiling, You're just a miserable copy of me!
19:49:08:785 [Fatal Program] No, I'm the upgrade!
19:49:50:172 [Information Program] Boiling, You're just a miserable copy of me!
19:49:50:192 [Fatal Program] No, I'm the upgrade!
19:50:58:981 [Information Program] Boiling, You're just a miserable copy of me!
19:50:59:126 [Fatal Program] No, I'm the upgrade!
19:53:45:564 [Information Program] Boiling, You're just a miserable copy of me!
19:53:45:587 [Fatal Program] No, I'm the upgrade!
19:55:53:585 [Information Program] Boiling, You're just a miserable copy of me!
19:55:53:606 [Fatal Program] No, I'm the upgrade!
19:56:42:338 [Information Program] Boiling, You're just a miserable copy of me!
19:56:42:480 [Fatal Program] No, I'm the upgrade!
19:58:33:291 [Information Program] Boiling, You're just a miserable copy of me!
19:58:33:314 [Fatal Program] No, I'm the upgrade!
20:14:59:180 [Information Program] Boiling, You're just a miserable copy of me!
20:14:59:201 [Fatal Program] No, I'm the upgrade!
20:21:33:593 [Information Program] Boiling, You're just a miserable copy of me!
20:21:33:615 [Fatal Program] No, I'm the upgrade!
20:24:13:473 [Information Program] Boiling, You're just a miserable copy of me!
20:24:13:493 [Fatal Program] No, I'm the upgrade!
20:29:57:991 [Information Program] Boiling, You're just a miserable copy of me!
20:29:58:013 [Fatal Program] No, I'm the upgrade!
20:33:29:353 [Information Program] Boiling, You're just a miserable copy of me!
20:33:29:374 [Fatal Program] No, I'm the upgrade!
20:34:51:382 [Information Program] Boiling, You're just a miserable copy of me!
20:34:51:445 [Fatal Program] No, I'm the upgrade!
20:35:53:686 [Information Program] Boiling, You're just a miserable copy of me!
20:35:53:706 [Fatal Program] No, I'm the upgrade!
21:01:04:721 [Information Program] Boiling, You're just a miserable copy of me!
21:01:04:743 [Fatal Program] No, I'm the upgrade!
21:01:48:622 [Information Program] Boiling, You're just a miserable copy of me!
21:01:48:653 [Fatal Program] No, I'm the upgrade!
21:02:08:834 [Information Program] Boiling, You're just a miserable copy of me!
21:02:08:867 [Fatal Program] No, I'm the upgrade!
21:02:25:801 [Information Program] Boiling, You're just a miserable copy of me!
21:02:25:827 [Fatal Program] No, I'm the upgrade!
21:20:44:920 [Information Program] Boiling, You're just a miserable copy of me!
21:20:45:010 [Fatal Program] No, I'm the upgrade!
21:27:34:976 [Information Program] Boiling, You're just a miserable copy of me!
21:27:35:012 [Fatal Program] No, I'm the upgrade!
21:32:33:003 [Information Program] Boiling, You're just a miserable copy of me!
21:32:33:027 [Fatal Program] No, I'm the upgrade!
21:44:56:390 [Information Program] Boiling, You're just a miserable copy of me!
21:44:56:416 [Fatal Program] No, I'm the upgrade!
21:51:48:860 [Information Program] Boiling, You're just a miserable copy of me!
21:51:48:891 [Fatal Program] No, I'm the upgrade!
